smiles
OS(C)(=O) =O .Cl =O .Cl c3ccccc3 c12 .O=C( O)C [C@H](O) C(=O)O C2 .Cl cc(F) cn 1 C(=O) CO 1 .Cl F Cl) cc c4 N C( C O) CO C( C c1 =O .Cl [C@@H]3O [C@H] 6 OCC 3) c2 3 )CC 1 CCC( O 1 .Cl .Cl [C@H](NC(=O) [C@H](N) c3ccc( F) =O) C(=O)N ) c1 =O .Cl c2ccc( Cl) c1 Cl) O 1 CCCC1 =O .Cl F c(C) n1 2 CC OCC 3) c2 1 .Cl c4 ncc( Br) cc4 CC OCC 3) n1 2 CC 2) CC [C@H](O) C(=O)O [C@@H] 4C) c3n 1 .Cl C[C@H]3 O [C@H]3 CC [C@@H]1 CN 2 C(=O) [C@@H]( CC(C) C) C( C C(C)C) n c(C) c2cn c( C2 CC ) c1 F) c1 F) cc c1 =O .Cl .Cl 4
OS(C)(=O) =O .Cl .Cl .Cl .Cl c4 [C@@H] 4 nc(- c5 cccc 1C 1 .O= S(=O) (O) O 1 .Cl F Cl) cc c4 N )C(=O)N 1 =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl [C@@H](C) C(=O) CO 1 3 )CC 1 .Cl 1) [C@H]1 c1ccc( F) c2cn c(- c2cc [nH] 1 .Cl .Cl .Cl c o 1 CCCC1 =O .Cl c3ccccc3) c(N) c1 =O .Cl c3ccc( O) cc3 4) CCC [C@H]1 c1 =O .Cl [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 c1ccc( F) [C@H]1 C(=O)O ncn c32) C1 CCCC C(=O)O) C(=O)O) C(=O)O) CC(=O) N(C) [C@@H]( cn 1 =C 2 C(=O) CO 1 I ] ) c1 [C@H]( [C@H](CO) c4ccc(O)cc4) c1 =O .Cl
OS(C)(=O) =O .Cl c3ccccc3) C(=O)O C2) cc1 n( C(C)C) c5 cccc c1 =O .Cl N) c1 F c(C) 1 .Cl .Cl .Cl .Cl c3ccc( N C( C O) CO C( CC(=O)O) c1 =O .Cl O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) c1 =O .Cl .Cl [C@@H]2O 3 )CC 1 .Cl .Cl CCN(C) CC4) c(OC) c1 3) c2 3 )CC 1 I ] (C) [C@@]3 (F) c4) c3) c1 F) c1 =O .Cl .Cl .Cl .Cl CCC [C@H]5 O 1 ( C#N) c5 cccc 1C 1 .Cl c(N) ncn c32) CC1 ( C#N) c5 cccc 1C 1 I ] (C) (N) ( c4ccc( Cl) O 1 I ] (C) (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( C(C)C) cs c(C) OC .O=C( O)CC (O)( CC(=O)O) [C@@H]( n c(C) n(
C =C c1C N( C1 CCC(=O)N C1 CCC( [C@H]3 c4 Cl) ncn 3) cc2) CC1 (C) [C@@H]( [C@@H](OC) )CC 1 .Cl .Cl .Cl 1) N C( C O) CO C( C cc2 ncc( n1 - 4 (C) (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( [C@@H]2 C) c(N) c1 =O .Cl .Cl n( C3 =O) n1 2 [C@H](OC(C)=O) C [C@@H]2 C [C@@H]2 C(=O)N (C) (N) ( CC(=O)O) c1 3) n1 2 [C@H](OC(C)=O) C [C@H]1 c2n c3cccc c1 F) [C@H]1 c1ccc( F) cc1) c1cc( C(F)(F)F) c1 ) c1 F) cn 1 .Cl .Cl .Cl .Cl .Cl .Cl c4 ncc( Cl) ncn c2 )CC 1 [C@H]1 c1cccc( Cl) c1 Cl) O 5) C2) c2ccccc2 1 .Cl c4 ncc( Cl) O c2ccc( Cl) O 2 C(=O) CO 1 .Cl N) c1 F) C#N) c5
[C@@H](O) [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =C c5 ncc( c2ccccc2 [N +] (=O) [O-] C 3) n1 2 [C@H](OC(C)=O) C [C@]2(C) C(=O) CC =C 2 C(=O) [C@@H]2CC CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) O 1 .Cl .Cl [C@H](NC(=O) [C@H](N) c3ccc( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c2ccccc2) C[C@H](O) CN 2 [C@H]1 C(=O)O cc1 O 1 .Cl c s2) C(C)C) cs 1 .Cl c4 ncc( Br) cc4 CC CN ) c1 F) c2n [nH]c( =O) c1 F cc2 1 I ] (C) [O-] . CS(=O)(=O) O [C@H]3 .Cl CCN(C) CC4) 4) c2) c1 3) C2 CC 2) CC c4 cc3 c( C2) c2ccccc2 1 I ] (C) (C)C) cccc3 nc2 1 [C@H]1 c1cccc( Cl) c1 F Cl) c1 F) c2n n
c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(C)=C1C C1 =O =O .Cl .Cl c s2) C(C)C) c5 cccc 1C 1 .Cl C2) C1 =C( O) nc2 )CC 1 I ] ) cc2 [C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) CC(=O) N(C) [C@@H]( O 1 OC(=O) C2 =O) c1 ) c1 c(Cl) cn 1 CCCC1 =O .Cl .Cl 1) [C@H]1 c1ccc( F) C(=O)O C2 =O) c1 O [C@H]3 [C@@H](O) C [C@]2(C) [C@@H]( CCC(=O)N [C@@H](CC (N) ( CC(=O)O) O 1 .Cl c3ccc( ) cn 1 CCCC1 =O .Cl [C@@H]3O [C@H] 6 Cl) O 1 .Cl 4 (C) C(=O)N[C@@H](CCC(=O)O) C(=O)O) [C@H]3 [C@@H](O) C 4) c(Cl) cn 2) NC(=O)C c1 =O .Cl .Cl c4
/C=C\ n1 cn c(- c2cc(C(F)(F)F) cc(C(F)(F)F) c2) n1 )N N c1cn cc n1 2 F OCC 3) n2) CC C1 CCC(=O)N C1 .O= S(=O) (O) O 1 =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) C(=O)N[C@@H](CCC(=O)O) C(=O)O) C(=O)O) [C@H]3 c4 cc3 o 1 I ] (C) CC(=O) N(C) [C@@H]( C(C)C) cs 1 =C 2 =O .Cl c2ccc( Cl) cc( NC(=O)C c1ccc( F) cc 6 ) cn 1 CCN 2 [C@H]1 C(=O)N[C@@H](CC (N) ( C [C@]2(C) [C@@]1 (O) O 1 I ] (C) (N) ( c2ccc( Cl) O 1 .Cl [C@H](NC(=O) [C@H](N) c3ccc( c s2) C(C)C) cs 1 CCCC1 =O .Cl 6 F) c2cn c s2) n
ncn2 c1 =O =O .Cl .Cl c4 ncc( Br) cc4 Cl) NC(=O) 3) cc2) CC1 2 =O .Cl C(C)C) C(=O)O C2 CC =C 2 C(=O) [C@@H]2CC CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) cc3) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl F 3 )CC 1 CCC( [C@H]3 c4 C(=O)O) c2ccccc2 1 .Cl cc4 CC OCC 3) n2) s 1 .Cl .Cl c4 ncc( [C@@] (C) [C@@H]( CCC(=O)N [C@@H]( C(C)C) cs c(C) 6 ) cn 1 .Cl I ] (C) (N) ( c2ccc( Cl) c1 F Cl) O 1 OC(=O) CCCC N1 CC OCC 3) n1 2 C(=O) CO 1 I ] (C) [C@H]3 c4 c2ccc( Cl) c1 )NC(=O) OC .O=C( O)CC (O)( CC(=O)O) [C@@H](
/C=C/ c1cccc( S(=O)(=O)N c2ccccc2) c1 )N O [C@H] c1 c(C) .Cl C#N) cnc3cc( 2) N1 CC [C@H](O) C1 )CC 1 .Cl CCN(C) C [C@]2(C) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 1 .Cl [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (N) ( c2ccc( Cl) c1 Cl) c1 F) c(N 3 )CC 1 .Cl c3ccccn3) cc2) c1 =O .Cl F c2ccccc2 1 I ] ) ( c6 ccc( F) cc 6 c2ccccc2 1 .Cl .Cl .Cl .Cl c4 ncc( 6 ) cn 1 I ] (C) [C@@H]( C(C)C) [C@@H](C) c2ccc( Cl) O 1 .Cl [nH]c( =O) C(=O)N[C@@H](CC 1 .Cl c4 CO 1 =C 2 [C@H]1 C(=O)O .Cl c4) c3) c1 ) ncn
cc13)-c1cc3c(c(=O)n1C 2)COC(=O)[C@]3(O)CC .Cl.O. O. O [C@H](C) O n1) C(F)(F) O 3) [C@H]3 O[C@H]( CC [C@@H]3O [C@H] 6 [C@H]5 O 4) CC(=O) C [C@@H]3 [C@@H](OC) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) O 1 .Cl .Cl [C@H](NC(=O) [C@H](N) c3ccc( - c1ccc( F) cc1 .Cl .Cl .Cl F F C [C@@H](C) C 3) cc1 [C@@H]1 c1ccc( Cl) O 1 .Cl c3cccc c1 =O .Cl .Cl .Cl .Cl [C@@H](C) C(=O) CO C) C(=O)O [C@@H] 4 (C) (C)C) CC OCC 3) cc c1 =O .Cl CC CCC( [C@H]3 c4 [C@H]( =C 2 [C@H](OC(C)=O) C [C@]2(C) C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 .Cl .Cl c3cc n 4) CC(=O) N(C) [C@@H]( CC(C) (C) [C@@H]( C(C)C) c5 cccc ( c2ccc( Cl) O 1
[As ] [As +] (=O) [O-] C [C@@H](C) /C=C/ C(=O) C[C@@] 2(C) [C@H]1 n2) cn 1 =C 2 1C 1 C2) c2ccccc2 Cl) c1 Cl) O 1 .Cl CO [C@@H]( N )CC CNC(=N)N ) cc1 . CCC(=O)O C(=O)O) [C@@]1 (O) [C@H]2 OC(=O) [C@@]1 (C) O 1 .Cl c3ccccn3) cc2)cc c1 3) CC1 ( C#N) c5 cccc c1 Cl) c1 Cl) c1 Cl) c1 F) cc [C@]2(C) C(=O) CO 1 .Cl c4ccc( Cl) c1 =O .Cl .Cl .Cl Nc1ccc( I) cc1 C) c1n cc( c1 F 3 )CC 1 .Cl Nc1ccc( I) cc1 .Cl .Cl c3c( c2) [C@H]( c2cc n c32) C1 CCCC c2n [nH]c( =O) c1 =O .Cl 3) n1 2 [C@H](OC(C)=O) C C2) c2ccccc2 1 OC(=O) CCCC [C@@H](CC C(=O)O) [C@H]3 [C@@H](O) C CN 2 [C@H](OC(C)=O) C
CCO c1 =O .Cl .Cl .Cl c3 cc(F) cc(F)c5 ) cc3 4) c(N C3 CC OCC 3) c2 )CC 1 1 .Cl .Cl c3ccc( N )C(=O)N 1 .Cl c2 F) c1 Cl) O 1 .Cl cc1) ( c1cccc( [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl c4 ncc( [C@@] (C) (N) ( C 4) cc23)c1 .Cl s2) NC(=O)C c1 3) n1 2 C(=O) CO C( C S c4ccccc34) n1 2 C(=O) CO C( C [C@@H]3 [C@@H](OC) [C@@H]( CC(C) C) c(O) cc c1 F cc2 4 )C(=O)N C2 CC OCC CNC(=N)N ) c1 3) n1 2 ] ) c1 =O .Cl F O 1 .O= S(=O) (O) O 1 I ] (C) O 1 .Cl .Cl .Cl c4 ncc( C#N)
[O-] [C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C /C=C/ 1C 1 =C 2 (O) O 1 .Cl c3cccc ( c3 n2) CO C1 =O .Cl .Cl 6 Cl) cc 6 Cl) O 1 =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) CC(=O) N(C) [C@@H]( C(C)C) c5 cccc 1C 1 I ] ) c(N) c1 3) c2 3) OCC 3) 1 I ] (C) [C@@H]( CCC(=O)N [C@@H]( CCC(=O)N [C@@H](CC (N) =O) c1 =O .Cl .Cl .Cl O)C [C@H](O) [C@@H](C) C(=O) CO 1 1 .Cl [C@@H](C) C [C@@H]2 C1 CCC( [C@H]3 O[C@H]( CC OCC 3) c2 1 =C 2 C(=O) CO 1 I ] (C) (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](C c2ccccc2) C[C@H](O) CN 2
[As ] [As +] (=O) [O-] C [C@H]1 C) cc1) c1ccccc1 .O=C( O)CC (O)( CC(=O)O) C(=O)O C2) C1 =C( O) nc2 )CC 1 I ] [As +] (=O) [O-] C( C(=O) CO C) C(=O)N (C) [C@@H]( C(C)C) C(=O)N 1C 1 . CCC(=O)O Br) c3 c1 =O .Cl Nc1ccc( I) cc1 .Cl c4 C(=O) CO 1 I ] (C) [C@@H]( CCC(=O)N [C@@H](CC c1ccccc1 ) c1 F) CC4) C( CO)CO) ccc( F) c1 F 2 [C@H]1 c2n [nH]c( =O) / C) C(=O)O [C@H]1 c1cccc( Cl) c1 )NC(=O) [C@H](CO) NC(=O)[C@H](C c2cc c s2) =C 2 C(=O) CN 2 C2 CC 2) CC [C@@H]1 OC(=O) C( C 4) cc23)c1 .Cl [nH]c( =O) CC1 ( c2ccc( Cl) O [C@@H](CC (N) ( c1ccc( F) cc 6 ) c1 F) N )CC 1 I
OS(C)(=O) =O .Cl .Cl .Cl .Cl 3) [C@H]( CC CNC(=N)N )NC(=O) [C@H](CO) NC(=O)C NC(=O)C NC(=O)[C@H](C c4ccc(O)cc4) NC(=O)[C@H](Cc4ccccc4) NC(=O)[C@H](Cc4ccccc4) NC(=O) [C@@H](NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4)c4ccccc4) C(C) O) C(=O)N[C@@H](CCCNC(=N)N)C(=O)N [C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .O= S(=O) (O) O 1 I ] (C) [C@@H]( CC(C) C) OCO 3 )CC 1 .Cl c2cc(C(F)(F)F) cc(C(F)(F)F) c1 =O .Cl [nH]c( =O) C(=O)N[C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O) C(=O)N[C@@H](CC (N) =O) c1 =O .Cl c(N)n Cl) cc c1 =O .Cl Nc1ccc( I) cc1 CC1 (C) [C@@H]( CC(C) C) [C@@H]3 CC1 ( c2ccc( Cl) O 1 .Cl (O)( CC(=O)O) [C@@H]( CC(C) C) OCO 3 )CC 1 .Cl c3ccccc3) cc c1 =O .Cl .Cl c4
C1 CCC( N2 C(=O) c3ccccc3 C2 =O) C(=O)N 1 OC(=O) C( C [C@@H]2 C1 =O .Cl c4 3 )CC 1 I ] (C) CC(=O) N(C) [C@@H]( CC(C) C) C(=O)N[C@@H](CC (N) =O)C(=O)N[C@@H](C c4ccccc4)C(=O)N [C@@H]( CCCC NC(=O) CCC(=O)O[C@@H](C(=O)O[C@H]4C[C@@]5(O)[C@@H](OC(=O)c6ccccc6)[C@@H]6[C@]7(OC(C)=O)CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(C)=O)C(=C4C)C5(C)C) [C@@H](NC(=O)c4ccccc4) c4ccccc4)C(=O)N [C@H]( C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](CCC(=O)O) C(=O)N[C@@H](C c4ccc(O)cc4) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) (N) ( c2ccc( Cl) c1 Cl) c1 3) C2 =O) C(=O)N[C@@H](CC c(=O) [nH] 1 .Cl F 4 (C) (N) ( C#N) c5 cccc n 5 )CC4) cc3) n 4) CC(=O) N(C) [C@@H]( =O .Cl .Cl .Cl [C@@H]2O 3 )CC 1 CCCC1 =O .Cl .Cl [C@@H]1 cccc 1C 1 .Cl .Cl N) c1 F) c(- c2ccc( Cl) O 1 .Cl ) c1 3) c2 =O) c1 F )NC(=O) OC ) c4ccc( Cl)
OC [C@H](C) O 1 .Cl .Cl c4ccc( Cl) cc1) c1cc c2c( c1 - c1ccc( ) c(OC) cc23) c(Cl) c1 ) ( c6 ccc( F) cc 6 F) 2(C) [C@H]1 [C@@H]( N )CC CNC(=N)N ) cc1 . [C@@H](C) C3 =C . CS(=O)(=O) O 1 (C) O 1 .Cl CC(=O)O) c1cc( C(F)(F)F) c1 F) cc 6 F) cc c1 F) [C@H]1 c1ccc( F) c1 F C1 =O .Cl .Cl .Cl cc1) c1cc( C(F)(F)F) c1 =O .Cl .Cl c - 1 I ] ) c1cccc( Cl) c1 3) n1 2 ( C c4cccc (F) [C@@H](O) C [C@]2(C) C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 =C 2 [C@H](OC(C)=O) C cn 1 I ] (C) c4ccccc34) n1 2 [C@H](OC(C)=O) C [C@@H]1C [C@@H]2O[C@]2(C)CCC[C@H](C) [C@@H]1 c1ccc( Cl) c1 F) N 3 )CC 1 I ] (C) [C@@H](
OS(C)(=O) =O .Cl .Cl .Cl .Cl c4 ncc( Br) cc4 CC C1 =O =O) (O) C(=O) C1 (=O) n2 C 4) CC(=O) N )CC 1 I ] ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) cc3) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] (C) CC(=O) N(C) [C@@H]( O 1 .Cl .Cl .Cl CCN(C) CC4) [C@@H]( C(C)C) cs 1 .Cl c4ccc( Cl) O 1 .Cl .Cl c3ccc( F) cc 6 ) c1 =O .Cl 3) c2 )CC 1 I ] (C) CC(=O) C=C [C@] 4 CCN( C 3) n1 2 [C@H](OC(C)=O) C [C@]2(C) C(=O) C(C)(C)[C@@H](O) CC(=O)O 1 .Cl .Cl c1 F c(C) n( C3 =O) C(=O)N[C@@H](CC (N) ( C#N) c5 cccc 1C 1 =C . CS(=O)(=O)
cc13)-c1cc3c(c(=O)n1C 2)COC(=O)[C@]3(O)CC .Cl.O. O. O CCN(C) CC4) cc3) c1 =O .Cl C#N) nc2 )CC 1 I ] ) ( CO 1 I )C(=O)N 1 N C( C O) CO C( CS(=O)(=O) O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O N(C) C(=O)O) [C@@H](C) O) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 .Cl c4 OC c2cn c s2) NC(=O)C c1 Cl) O 1 .Cl c3ccc( c3ccc4 c( C[C@H](O) CN ) c1 =O .Cl .Cl .Cl .O=C( O)CC (O)( CC(=O)O) [C@@H]( CC(C) (C) (N) ( - c1ccc( F) [C@H]1 c1cccc( Cl) c1 =O .Cl [C@H](NC(=O) [C@H](N) c3ccc( F) [C@H]1 c1cccc( Cl) c1 F C(=O)N[C@@H](C c2ccccc2) C[C@H](O) CN ) C(=O)O) C(=O)O) 4) cc23)c1 .Cl c3cc C 4) c(Cl) cn 1 .Cl c2ccc(N) cc2) c1 =O .Cl .Cl c2cc(C(F)(F)F)
c2cc1 C( C [C@@H]2 C(=O) CN 4 3) cc c1 F) N )CC 1 CCN CC1 [C@@H](O) C c4cccc (F) C2) c2ccccc2 Cl) c1 F) N 1CCN( C) C(=O)N (C) [C@@H]( CC(C) C) C(=O)N (C) [C@@H]( C(C)C) C(=O)N 1C 1 . CO C) c(N) c1 =O .Cl [C@@H]2O 3 2 1C 1 .Cl .Cl c4 ncc( C#N) c5 cccc c12 .O=C( O)CC (O)( CC(=O)O) [C@@H]( CCC(=O)N [C@@H](CC (N) =O) CC1 ( CC(=O)O) C(=O)O ( CC(=O)O) C(=O)O cn 1 CCC( [C@H]3 c5 cc(F) cn 2) 3 )CC 1 CC OCC 2 [C@H](OC(C)=O) C [C@]2(C) CN CC1 (C) [C@@H]( C(C)C) C(=O)N (C) (N) =O) CC1 ( - 1 I ] ) c(- c1cccc( Cl) O 4) c(Cl) cn 1 CCCC1 =O .Cl CC(=O)O) c1 3) n1 2 CCC( [C@H]3
C(=O) C2 C( C(=O)O) [C@H]3 CC [C@@H]2O 3 )CC 1 .Cl [C@@H]2O 3 )CC 1 I ] ) ( (=O) [O-] C [C@@H]3 [C@@H](OC) [C@@H]( C[C@H](O) CN ) O [C@H]3 C[C@H]3 O [C@@H](CC [C@@H]1 O2) C [C@@H](C) C3 =C . CS(=O)(=O) O 4) c(Cl) cn 2) [C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C) [C@]1(OC(C)=O)CO [C@@H]1C [C@@H]2O 3 )CC 1 I ] ) c1 F) cc1) c1cc( C(F)(F)F) c1 - 2 ( c1ccc( F) c(=O) [nH] 1 .Cl C(C)C) C(=O)N ( C [C@@H]2 C [C@@H](C) C(=O) CO C( C [C@]2(C) [C@@H]( C(C)C) cs 1 .Cl s2) NC(=O)C 4 CCOC [C@@H] 4C) n c12 .O=C( O)CC (O)( CC(=O)O) ( C [C@@H]2 C1 =O .Cl 4 CCOC [C@@H] 4C) n c12 .O=C( O)CC (O)( CC(=O)O) C(=O)O C2 =O) c1 Cl) O 1 .Cl c4 n 5
[O-]) C( Cl) Cl. [N a +] . [ L i +] . [ L i +] (=O) n2 C c2 3 )C(=O)N 1 N C( C O) CO C( CC(=O)O) c1 =O .Cl n1 (C) CC(=O) N(C) [C@@H]( C(C)C) C(=O)O [C@@H]2 C) c(N) c1 =O .Cl [C@@H]2O 3 2 CCC( [C@H]3 [C@@H](O) [C@@H]2 C1 =O .Cl .Cl CCC [C@H]1 c1ccc( F) 3 )CC 1 CCCC1 =O .Cl .Cl .Cl .Cl c2cc(C(F)(F)F) c(Cl) cn 1 =C 2 (O) C(=O) CO C( Cl) c1 F) cc3 o 1 .Cl .Cl .Cl .Cl .Cl c4 ncc( [C@@] (C) CC(=O) C=C 1 a +] (=O) [O-] 4 C(F)(F)F) cc(C(F)(F)F) c1 F =O) c1 F) cc 6 F) (C) (C)C) cccc3 nc2 1 I ] (C) (C)C) [C@] 4 (C) (N)
